"source_business_id","legal_name","trading_names","registration_number","registration_country","incorporation_date","industry_code","declared_turnover_band","address_line","city","province","postcode","country","contact_phone","contact_email","status"
"BUS-00037","UD Harapan Digital","Harapan Digital","9924522291997","ID","2012-12-31","85864","LT_300M","Jl. Anggrek No. 144","Medan","Sumatera Utara","20111","ID","+628991274619","bus-00037@mailuji.example","ACTIVE"
"BUS-00038","CV Sinar Utama","Sinar Utama","9924848561153","ID","2016-11-23","80059","LT_300M","Jl. Dahlia No. 143","Denpasar","Bali","80111","ID","+628992931292","bus-00038@mailuji.example","ACTIVE"
"BUS-00039","UD Mandiri Niaga","Mandiri Niaga","9958518798317","ID","2016-11-30","78694","300M_2_5B","Jl. Flamboyan No. 113","Jakarta Pusat","DKI Jakarta","10110","ID","+628993972011","bus-00039@surelsintetis.id","ACTIVE"
"BUS-00040","UD Lestari Logistik","Lestari Logistik","9972696614704","ID","2019-02-18","87349","GT_50B","Jl. Kenanga No. 200","Makassar","Sulawesi Selatan","90111","ID","+628993985390","bus-00040@surelsintetis.id","ACTIVE"
"BUS-00041","CV Lestari Nusantara","Lestari Nusantara","9938590300166","ID","2015-01-19","45989","GT_50B","Jl. Flamboyan No. 199","Makassar","Sulawesi Selatan","90111","ID","+628991300741","bus-00041@mailuji.example","ACTIVE"
"BUS-00042","PT Sinar Utama","Sinar Utama","9976891895510","ID","2021-07-25","48703","LT_300M","Jl. Dahlia No. 79","Yogyakarta","DI Yogyakarta","55111","ID","+628993378937","bus-00042@surelsintetis.id","ACTIVE"
"BUS-00043","CV Maju Bersama","Maju Bersama","9957547654185","ID","2016-09-22","43915","2_5B_50B","Jl. Anggrek No. 28","Medan","Sumatera Utara","20111","ID","+628993082650","bus-00043@contoh.id","SUSPENDED"
"BUS-00044","Koperasi Mandiri Digital","Mandiri Digital","9918511313880","ID","2019-02-28","78485","LT_300M","Jl. Mawar No. 123","Semarang","Jawa Tengah","50111","ID","+628993435199","bus-00044@mailuji.example","ACTIVE"
"BUS-00045","CV Maju Perkasa","Maju Perkasa","9916014405335","ID","2014-07-03","80048","300M_2_5B","Jl. Kenanga No. 98","Denpasar","Bali","80111","ID","+628996247564","bus-00045@contoh.id","ACTIVE"
"BUS-00046","CV Makmur Logistik","Makmur Logistik","9929583201136","ID","2016-11-14","63643","GT_50B","Jl. Teratai No. 234","Makassar","Sulawesi Selatan","90111","ID","+628997111581","bus-00046@demo.example","ACTIVE"
"BUS-00047","CV Jaya Niaga","Jaya Niaga","9934860446369","ID","2017-04-26","91854","2_5B_50B","Jl. Kenanga No. 54","Palembang","Sumatera Selatan","30111","ID","+628993890963","bus-00047@contoh.id","ACTIVE"
"BUS-00048","PT Harapan Nusantara","Harapan Nusantara","9938168412025","ID","2016-07-04","26697","GT_50B","Jl. Kenanga No. 71","Balikpapan","Kalimantan Timur","76111","ID","+628999770802","bus-00048@contoh.id","ACTIVE"
"BUS-00049","UD Jaya Bersama","Jaya Bersama","9950715299262","ID","2015-10-28","30719","LT_300M","Jl. Bougenville No. 66","Palembang","Sumatera Selatan","30111","ID","+628993527593","bus-00049@mailuji.example","ACTIVE"
"BUS-00050","PT Jaya Utama","Jaya Utama","9981170624227","ID","2016-10-06","89658","300M_2_5B","Jl. Melati No. 207","Palembang","Sumatera Selatan","30111","ID","+628999172856","bus-00050@contoh.id","ACTIVE"
"BUS-00051","Koperasi Mandiri Niaga","Mandiri Niaga","9935780775149","ID","2018-01-13","92069","LT_300M","Jl. Kenanga No. 33","Surabaya","Jawa Timur","60111","ID","+628999594880","bus-00051@demo.example","ACTIVE"
"BUS-00052","PT Berkah Niaga","Berkah Niaga","9961970021198","ID","2017-10-09","70293","2_5B_50B","Jl. Anggrek No. 223","Semarang","Jawa Tengah","50111","ID","+628996771591","bus-00052@contoh.id","ACTIVE"
"BUS-00053","CV Makmur Nusantara","Makmur Nusantara","9996096499871","ID","2013-05-21","20623","300M_2_5B","Jl. Flamboyan No. 157","Surabaya","Jawa Timur","60111","ID","+628992390194","bus-00053@demo.example","ACTIVE"
"BUS-00054","PT Sinar Nusantara","Sinar Nusantara","9985788537352","ID","2017-01-18","14589","LT_300M","Jl. Flamboyan No. 71","Makassar","Sulawesi Selatan","90111","ID","+628995661366","bus-00054@mailuji.example","ACTIVE"
"BUS-00055","PT Harapan Nusantara","Harapan Nusantara","9955100764926","ID","2019-05-12","78615","GT_50B","Jl. Kenanga No. 196","Medan","Sumatera Utara","20111","ID","+628997386469","bus-00055@mailuji.example","ACTIVE"
"BUS-00056","PT Cemerlang Bersama","Cemerlang Bersama","9956942717155","ID","2022-05-16","69195","300M_2_5B","Jl. Kenanga No. 194","Jakarta Pusat","DKI Jakarta","10110","ID","+628994099260","bus-00056@demo.example","ACTIVE"
"BUS-00057","Koperasi Jaya Nusantara","Jaya Nusantara","9944413866546","ID","2022-08-01","56758","300M_2_5B","Jl. Kenanga No. 170","Makassar","Sulawesi Selatan","90111","ID","+628998255447","bus-00057@surelsintetis.id","ACTIVE"
"BUS-00058","CV Abadi Nusantara","Abadi Nusantara","9918816163933","ID","2025-03-26","11178","GT_50B","Jl. Flamboyan No. 63","Bandung","Jawa Barat","40111","ID","+628997770950","bus-00058@contoh.id","ACTIVE"
"BUS-00059","CV Mandiri Perkasa","Mandiri Perkasa","9938213864022","ID","2020-09-14","57853","LT_300M","Jl. Cempaka No. 1","Semarang","Jawa Tengah","50111","ID","+628996891545","bus-00059@contoh.id","ACTIVE"
"BUS-00060","Koperasi Lestari Logistik","Lestari Logistik","9927980410925","ID","2012-12-31","56809","LT_300M","Jl. Cempaka No. 192","Medan","Sumatera Utara","20111","ID","+628992714589","bus-00060@surelsintetis.id","ACTIVE"
