"source_merchant_id","source_business_id","merchant_name","mcc","declared_expected_volume_band","declared_expected_ticket_band","onboarded_date","status","settlement_source_account_id","operating_hours_declared","outlet_count"
"MER-00044","BUS-00002","Makmur Digital - Computers and Peripherals","5045","50M_250M","GT_1M","2025-05-20","ACTIVE","ACC-0000612","10:00-22:00","5"
"MER-00045","BUS-00027","Harapan Utama - Betting-adjacent (restricted)","7995","50M_250M","GT_1M","2023-11-25","ACTIVE","ACC-0000647","00:00-23:59","1"
"MER-00046","BUS-00024","Sinar Utama - Department Stores","5311","GT_1B","250K_1M","2023-04-15","ACTIVE","ACC-0000643","08:00-17:00","1"
"MER-00047","BUS-00048","Harapan Nusantara - Eating Places","5812","GT_1B","50K_250K","2024-10-28","ACTIVE","ACC-0000671","10:00-22:00","1"
"MER-00048","BUS-00052","Berkah Niaga - Betting-adjacent (restricted)","7995","50M_250M","GT_1M","2023-07-07","ACTIVE","ACC-0000675","00:00-23:59","10"
"MER-00049","BUS-00044","Mandiri Digital - Betting-adjacent (restricted)","7995","250M_1B","GT_1M","2023-03-07","ACTIVE","ACC-0000666","08:00-17:00","8"
"MER-00050","BUS-00005","Mandiri Logistik - Drug Stores","5912","250M_1B","50K_250K","2025-10-08","ACTIVE","ACC-0000617","09:00-21:00","4"
"MER-00051","BUS-00018","Cemerlang Digital - Service Stations","5541","250M_1B","50K_250K","2023-02-15","CLOSED","ACC-0000635","09:00-21:00","10"
"MER-00052","BUS-00004","Makmur Logistik - Taxicabs and Limousines","4121","GT_1B","LT_50K","2024-10-04","ACTIVE","ACC-0000615","08:00-17:00","8"
"MER-00053","BUS-00006","Berkah Nusantara - Family Clothing","5651","50M_250M","50K_250K","2024-04-18","ACTIVE","ACC-0000618","00:00-23:59","6"
"MER-00054","BUS-00049","Jaya Bersama - Department Stores","5311","GT_1B","250K_1M","2024-08-07","SUSPENDED","ACC-0000672","00:00-23:59","9"
"MER-00055","BUS-00026","Sentosa Utama - Betting-adjacent (restricted)","7995","GT_1B","GT_1M","2025-04-07","ACTIVE","ACC-0000646","09:00-21:00","6"
"MER-00056","BUS-00019","Sentosa Niaga - Family Clothing","5651","50M_250M","50K_250K","2023-03-22","ACTIVE","ACC-0000636","00:00-23:59","4"
"MER-00057","BUS-00052","Berkah Niaga - Service Stations","5541","250M_1B","50K_250K","2024-11-08","ACTIVE","ACC-0000675","08:00-17:00","10"
"MER-00058","BUS-00058","Abadi Nusantara - Travel Agencies","4722","LT_50M","GT_1M","2025-05-18","ACTIVE","ACC-0000682","00:00-23:59","10"
"MER-00059","BUS-00029","Mandiri Digital - Motion Picture Theatres","7832","50M_250M","50K_250K","2023-04-04","ACTIVE","ACC-0000650","10:00-22:00","5"
"MER-00060","BUS-00058","Abadi Nusantara - Fast Food","5814","250M_1B","LT_50K","2025-03-09","ACTIVE","ACC-0000682","00:00-23:59","4"
"MER-00061","BUS-00004","Makmur Logistik - Electronics Stores","5732","50M_250M","GT_1M","2023-02-18","ACTIVE","ACC-0000615","09:00-21:00","7"
"MER-00062","BUS-00001","Lestari Digital - Motion Picture Theatres","7832","GT_1B","50K_250K","2025-01-18","ACTIVE","ACC-0000611","09:00-21:00","3"
"MER-00063","BUS-00054","Sinar Nusantara - Drug Stores","5912","GT_1B","50K_250K","2023-12-13","ACTIVE","ACC-0000677","08:00-17:00","1"
"MER-00064","BUS-00041","Lestari Nusantara - Computers and Peripherals","5045","LT_50M","GT_1M","2023-06-26","ACTIVE","ACC-0000663","08:00-17:00","10"
"MER-00065","BUS-00059","Mandiri Perkasa - Betting-adjacent (restricted)","7995","250M_1B","GT_1M","2025-02-14","ACTIVE","ACC-0000684","08:00-17:00","10"
"MER-00066","BUS-00042","Sinar Utama - Eating Places","5812","LT_50M","50K_250K","2025-09-23","ACTIVE","ACC-0000664","10:00-22:00","4"
"MER-00067","BUS-00045","Maju Perkasa - Computer Network Services","4816","50M_250M","50K_250K","2025-12-16","ACTIVE","ACC-0000667","08:00-17:00","10"
"MER-00068","BUS-00035","Harapan Perkasa - Fast Food","5814","50M_250M","LT_50K","2025-07-25","ACTIVE","ACC-0000657","08:00-17:00","10"
"MER-00069","BUS-00038","Sinar Utama - Cosmetic Stores","5977","50M_250M","50K_250K","2025-03-24","ACTIVE","ACC-0000660","09:00-21:00","6"
"MER-00070","BUS-00012","Jaya Bersama - Lodging","7011","LT_50M","250K_1M","2025-08-17","ACTIVE","ACC-0000628","00:00-23:59","8"
"MER-00071","BUS-00008","Maju Niaga - Family Clothing","5651","50M_250M","50K_250K","2023-12-23","ACTIVE","ACC-0000621","10:00-22:00","4"
"MER-00072","BUS-00028","Sejahtera Nusantara - Travel Agencies","4722","250M_1B","GT_1M","2025-01-05","ACTIVE","ACC-0000649","09:00-21:00","1"
"MER-00073","BUS-00036","Sinar Utama - Grocery Stores","5411","GT_1B","50K_250K","2024-03-05","ACTIVE","ACC-0000658","08:00-17:00","2"
"MER-00074","BUS-00046","Makmur Logistik - Book Stores","5942","LT_50M","50K_250K","2025-11-10","ACTIVE","ACC-0000668","10:00-22:00","3"
"MER-00075","BUS-00044","Mandiri Digital - Colleges and Universities","8220","LT_50M","GT_1M","2023-11-28","ACTIVE","ACC-0000666","09:00-21:00","6"
